1, 6
2, 12
3, 12
4, 18
5, 18
6, 17
7, 17
8, 24
9, 23
10, 23
11, 24
12, 24
13, 24
14, 24
15, 23
16, 30
17, 29
18, 30
19, 30
20, 30
21, 30
22, 30
23, 30
24, 30
25, 30
26, 32
27, 29
28, 29
29, 28
30, 27
31, 28
32, 32
33, 33
34, 33
35, 33
36, 33
37, 32
38, 32
39, 34
40, 32
41, 34
42, 32
43, 34
44, 34
45, 33
46, 32
47, 32
48, 34
49, 35
50, 34
51, 33
52, 34
53, 35
54, 36
55, 35
56, 36
57, 34
58, 35
59, 35
60, 36
61, 34
62, 36
63, 34
64, 37
65, 38
66, 39
67, 39
68, 39
69, 40
70, 38
71, 38
72, 39
73, 38
74, 37
75, 37
76, 39
77, 38
78, 39
79, 40
80, 40
81, 39
82, 36
83, 38
84, 38
85, 39
86, 39
87, 37
88, 39
89, 38
90, 37
91, 37
92, 38
93, 40
94, 38
95, 37
96, 37
97, 37
98, 38
99, 38
100, 39
